RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Oklahoma County, OKLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Oklahoma County, OK","Life expectancy, male",72.6
"Shelby County, TNLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Shelby County, TN","Life expectancy, male",71.1
"Wake County, NCLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Wake County, NC","Life expectancy, male",77.3
"Benchmark AverageLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,Benchmark Average,"Life expectancy, male",73.6
"Orleans Parish, LALife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Orleans Parish, LA","Life expectancy, female",77.8
"Davidson County, TNLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Davidson County, TN","Life expectancy, female",78.2
"East Baton Rouge Parish, LALife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"East Baton Rouge Parish, LA","Life expectancy, female",77.4
"Fulton County, GALife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Fulton County, GA","Life expectancy, female",78.5
"Hillsborough County, FLLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Hillsborough County, FL","Life expectancy, female",80
"Jefferson County, KYLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Jefferson County, KY","Life expectancy, female",79.1
"Miami-Dade County, FLLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Miami-Dade County, FL","Life expectancy, female",82
"Oklahoma County, OKLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Oklahoma County, OK","Life expectancy, female",78
"Shelby County, TNLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Shelby County, TN","Life expectancy, female",77.2
"Wake County, NCLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,"Wake County, NC","Life expectancy, female",81.8
"Benchmark AverageLife expectancy, female2006",01/01/2006 12:00:00 AM,2006,Benchmark Average,"Life expectancy, female",79.1
"Orleans Parish, LALife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Orleans Parish, LA","Life expectancy, male",68.8
"Davidson County, TNLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Davidson County, TN","Life expectancy, male",72.8
"East Baton Rouge Parish, LALife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"East Baton Rouge Parish, LA","Life expectancy, male",72.3
"Fulton County, GALife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Fulton County, GA","Life expectancy, male",73.4
"Hillsborough County, FLLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Hillsborough County, FL","Life expectancy, male",74.4
"Jefferson County, KYLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Jefferson County, KY","Life expectancy, male",73.4
"Miami-Dade County, FLLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Miami-Dade County, FL","Life expectancy, male",76.2
"Oklahoma County, OKLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Oklahoma County, OK","Life expectancy, male",72.7
"Shelby County, TNLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Shelby County, TN","Life expectancy, male",71.4
"Wake County, NCLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,"Wake County, NC","Life expectancy, male",77.5
"Benchmark AverageLife expectancy, male2007",01/01/2007 12:00:00 AM,2007,Benchmark Average,"Life expectancy, male",73.8
"Orleans Parish, LALife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Orleans Parish, LA","Life expectancy, female",77.7
"Davidson County, TNLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Davidson County, TN","Life expectancy, female",78.4
"East Baton Rouge Parish, LALife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"East Baton Rouge Parish, LA","Life expectancy, female",77.8
"Fulton County, GALife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Fulton County, GA","Life expectancy, female",79
"Hillsborough County, FLLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Hillsborough County, FL","Life expectancy, female",80.1
"Jefferson County, KYLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Jefferson County, KY","Life expectancy, female",79
"Miami-Dade County, FLLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Miami-Dade County, FL","Life expectancy, female",82.3
"Oklahoma County, OKLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Oklahoma County, OK","Life expectancy, female",77.9
"Shelby County, TNLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Shelby County, TN","Life expectancy, female",77.4
"Wake County, NCLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,"Wake County, NC","Life expectancy, female",81.9
"Benchmark AverageLife expectancy, female2007",01/01/2007 12:00:00 AM,2007,Benchmark Average,"Life expectancy, female",79.3
"Orleans Parish, LALife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Orleans Parish, LA","Life expectancy, male",69.3
"Davidson County, TNLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Davidson County, TN","Life expectancy, male",73.1
"East Baton Rouge Parish, LALife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"East Baton Rouge Parish, LA","Life expectancy, male",72.9
"Fulton County, GALife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Fulton County, GA","Life expectancy, male",73.8
"Hillsborough County, FLLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Hillsborough County, FL","Life expectancy, male",74.6
"Jefferson County, KYLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Jefferson County, KY","Life expectancy, male",73.7
"Miami-Dade County, FLLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Miami-Dade County, FL","Life expectancy, male",76.5
"Oklahoma County, OKLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Oklahoma County, OK","Life expectancy, male",73.2
"Shelby County, TNLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Shelby County, TN","Life expectancy, male",71.8
"Wake County, NCLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,"Wake County, NC","Life expectancy, male",77.9
"Benchmark AverageLife expectancy, male2008",01/01/2008 12:00:00 AM,2008,Benchmark Average,"Life expectancy, male",74.2
"Orleans Parish, LALife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Orleans Parish, LA","Life expectancy, female",77.6
"Davidson County, TNLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Davidson County, TN","Life expectancy, female",78.7
"East Baton Rouge Parish, LALife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"East Baton Rouge Parish, LA","Life expectancy, female",78
"Fulton County, GALife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Fulton County, GA","Life expectancy, female",78.9
